ID,Name,Stars,Forks,Open Issues,Closed Issues,PRs,Releases,Pushed At,Created At,Primary Language
MDEwOlJlcG9zaXRvcnk2MTQxMjAyMg==,slate,30396,3183,654,2502,2460,186,2025-02-10T01:51:48Z,2016-06-18T01:52:42Z,TypeScript
MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==,spring-boot-examples,30381,12171,9,99,53,0,2023-11-18T16:32:16Z,2016-11-05T05:32:33Z,Java
MDEwOlJlcG9zaXRvcnkzMDI2MDMwMDE=,YesPlayMusic,30378,4359,594,1188,409,31,2024-11-08T11:55:11Z,2020-10-09T10:04:21Z,Vue
MDEwOlJlcG9zaXRvcnkxMDI1NzgzNDU=,lede,30356,19015,742,8187,3504,6,2025-02-23T15:00:31Z,2017-09-06T07:39:03Z,C
MDEwOlJlcG9zaXRvcnk3NDk2MjUxNQ==,CyberChef,30355,3310,407,602,775,447,2025-02-21T22:19:34Z,2016-11-28T10:34:07Z,JavaScript
MDEwOlJlcG9zaXRvcnkyODc1MTYzMg==,linux-insides,30352,3205,33,152,664,0,2024-11-23T18:42:33Z,2015-01-03T18:44:57Z,Python
MDEwOlJlcG9zaXRvcnkyODEwMjky,rufus,30345,2652,8,2420,218,81,2025-02-21T17:54:05Z,2011-11-19T19:12:05Z,C
MDEwOlJlcG9zaXRvcnkxNzIyMjc4ODU=,full-stack-fastapi-template,30324,5363,165,257,607,10,2025-02-22T21:59:53Z,2019-02-23T15:08:34Z,TypeScript
MDEwOlJlcG9zaXRvcnkxNDU2NzAyMzQ=,mmdetection,30323,8669,1699,6732,3173,53,2024-08-21T02:01:07Z,2018-08-22T07:06:06Z,Python
MDEwOlJlcG9zaXRvcnk2MTcxNTQzMQ==,NeteaseCloudMusicApi,30306,14916,147,1190,457,0,2024-02-28T02:47:42Z,2016-06-22T11:58:03Z,Unknown
R_kgDOHP4oZA,winutil,30227,1721,189,1542,1171,17,2025-02-20T15:33:20Z,2022-04-28T02:25:19Z,PowerShell
R_kgDOJIQnXA,chatbot-ui,30097,7769,159,814,741,0,2024-08-03T00:38:07Z,2023-03-11T14:53:14Z,TypeScript
MDEwOlJlcG9zaXRvcnkxNTMwODQ5OQ==,Sortable,30076,3661,458,1342,511,30,2024-11-28T18:28:59Z,2013-12-19T10:10:13Z,JavaScript
MDEwOlJlcG9zaXRvcnkxNjgwMDg3OTc=,calculator,30067,5332,363,713,1177,0,2025-02-21T10:11:45Z,2019-01-28T17:55:49Z,C++
MDEwOlJlcG9zaXRvcnkyNjUxMjI0Nzg=,manim,30063,2094,414,1180,2338,29,2025-02-11T05:29:24Z,2020-05-19T02:37:13Z,Python
MDEwOlJlcG9zaXRvcnk0NTgwNTg=,symfony,30057,9409,526,20219,34325,537,2025-02-21T10:11:46Z,2010-01-04T14:21:21Z,PHP
MDEwOlJlcG9zaXRvcnk3NjY3OTQ5Ng==,awesome-cto,30038,1775,2,9,27,0,2024-03-24T08:52:56Z,2016-12-16T19:22:18Z,Unknown
MDEwOlJlcG9zaXRvcnk1NjcxNzQ5Mw==,HEAD,30028,1658,20,73,154,0,2024-06-21T17:54:29Z,2016-04-20T20:05:37Z,Unknown
R_kgDOJKSO2A,tabby,30004,1366,160,667,2944,191,2025-02-23T14:54:11Z,2023-03-16T09:18:01Z,Rust
MDEwOlJlcG9zaXRvcnkzMzUxODcx,qBittorrent,29994,2733,2792,13606,4655,0,2025-02-23T07:20:23Z,2012-02-04T09:37:46Z,C++
MDEwOlJlcG9zaXRvcnk0MjkyMDQ3Nw==,layui,29982,7340,45,1171,840,136,2025-02-23T08:01:07Z,2015-09-22T08:12:03Z,JavaScript
MDEwOlJlcG9zaXRvcnkzMzEyOTM2MjY=,refine,29964,2357,25,1557,4788,1000,2025-02-21T15:01:19Z,2021-01-20T12:01:32Z,TypeScript
